Date,columunG1,columunG1_low,columunG1_up,columunG2,columunG2_low,columunG2_up
2021/6/11,34.14510921,27.53661267,45.83289965,22.60731705,12.89019891,36.00796479
2021/6/12,37.37674053,27.87768084,49.65559037,22.60021132,15.47091426,34.75853819
2021/6/13,39.72393366,30.65914401,51.99058329,21.99628953,15.01477558,33.50883139
2021/6/14,39.81907829,31.36120391,53.07430706,21.94498191,15.11477942,32.91875139
2021/6/15,38.2703286,30.18442424,53.65801117,20.55827566,14.56468974,31.24509194
2021/6/16,37.4635455,29.11470949,52.07970128,19.56271751,14.13057426,29.01275092
2021/6/17,37.08393808,28.92196237,51.54372858,19.09094564,13.75434109,29.75469615
2021/6/18,37.31428491,28.44026045,50.61484381,19.20651923,14.5605608,27.73600785
2021/6/19,37.95339585,27.56948914,52.27644012,17.94493553,12.5559967,27.18621686
2021/6/20,36.14485405,27.31041625,51.54868554,17.61814495,13.44262138,27.21567658
2021/6/21,37.35992371,29.15282477,52.62884018,17.30723651,15.60648011,28.3426453
2021/6/22,38.15623707,29.01750234,55.28933769,18.32747418,14.41715418,28.82391565
2021/6/23,39.34778423,29.64393189,54.93563759,18.97195679,14.20974728,29.53310646
2021/6/24,40.53248317,29.06752664,57.84372474,19.4980691,13.9159468,31.15177364
2021/6/25,38.97861578,30.54838907,60.6564575,19.11769964,14.07174991,29.70942257
2021/6/26,39.3362829,28.58889765,59.78892756,19.74154879,14.05101772,28.59370597
2021/6/27,38.80904996,28.81287619,60.58652364,20.39111043,14.0474028,28.44272448
2021/6/28,42.8573206,31.40530182,60.22848472,15.87038424,13.20733047,28.18730243
2021/6/29,43.61756091,33.32770421,63.6037694,15.75269431,14.3627766,30.19050149
2021/6/30,44.40862334,34.83068497,66.21654164,16.93985317,14.36809626,27.85813718
2021/7/1,45.19968578,36.83158661,69.46379544,16.80540989,14.1423803,27.03917378
2021/7/2,45.7947164,35.99257158,70.50007196,15.64905816,13.23007975,27.97986184
2021/7/3,41.52336185,35.46623459,71.55844955,15.32653382,12.59063481,31.2003641
2021/7/4,44.22383247,37.43877261,70.27215714,17.47762629,14.06363428,31.83510001
2021/7/5,48.14009028,38.32614727,79.60690686,18.95650236,14.67150233,34.32731913
2021/7/6,51.23879238,41.67905385,88.83470566,19.85812038,14.79706454,34.99083615
2021/7/7,55.79790221,45.42918735,89.90510406,22.04869778,15.61642082,39.07533167
2021/7/8,58.67393746,46.71708492,93.60740084,22.18314105,16.27669689,41.04468999
2021/7/9,60.35633806,48.64175454,98.41855619,24.06291358,17.23895941,44.49397512
2021/7/10,71.64188392,54.33478292,123.2794545,28.36753189,20.64360893,48.56911214
2021/7/11,78.30114286,50.88692716,131.4991019,30.02892521,22.55073823,49.43047343
2021/7/12,82.8325848,49.4799807,138.2276201,35.99493684,25.27400966,54.94888043
2021/7/13,88.39278986,54.06497896,144.7867994,38.48171468,27.72000322,60.85860944
2021/7/14,94.67429022,54.50644529,151.8575665,43.20251982,29.46569568,63.24766802
2021/7/15,101.5609661,55.32729178,164.7662394,41.91502751,30.55419766,65.54842758
2021/7/16,106.0625385,57.83208651,179.3049392,44.34695743,32.10083385,67.83267297
2021/7/17,110.607181,62.41179972,191.2585351,47.20805146,36.99372326,72.60552619
2021/7/18,121.6753941,64.88124035,218.7286505,48.39958048,40.35362189,78.01591756
2021/7/19,135.1912735,73.69818252,236.0423872,53.92660274,43.53496395,85.49419288
2021/7/20,149.7429098,76.87714958,254.1546227,60.01475727,45.82599234,92.96347039
2021/7/21,162.277854,79.666673,264.512894,63.48190969,47.39106333,96.26130837
2021/7/22,175.7212855,82.07369753,270.4938313,68.43162907,47.6427972,99.63903334
2021/7/23,182.1074309,89.66970517,276.6234206,72.98420896,49.74564752,104.2468039
2021/7/24,193.1181882,100.0154716,280.4738273,79.74568881,54.76653912,113.0074787
2021/7/25,215.0045269,114.493132,285.7357781,84.02704945,59.49639632,121.3514807
2021/7/26,225.8219754,125.1670834,298.0584926,91.89176001,65.49486399,124.9075356
2021/7/27,254.5791453,137.476955,309.1738969,95.27368598,72.22117023,131.6643906
2021/7/28,272.0760532,142.7595194,317.9725992,101.3448902,76.22938927,138.9049231
2021/7/29,281.9406464,149.8830066,328.9831141,110.1259657,79.89665003,145.4759412
2021/7/30,287.6302106,156.6355614,354.8471554,117.5932485,82.97605171,152.4611755
2021/7/31,299.1625662,167.3416697,363.6584097,122.8544973,92.73411767,164.2429547
2021/8/1,312.0517701,176.8953914,380.0327573,128.7354011,100.1949302,185.2737049
2021/8/2,317.6393279,187.0142519,398.5562487,134.898266,108.8009203,203.5019126
2021/8/3,324.0209318,195.8447562,429.1481557,144.5655051,116.0515235,212.3293512
2021/8/4,341.5916102,200.78596,453.3127829,157.7893356,120.9998937,216.7864774
2021/8/5,359.1622886,205.7271638,466.9605017,167.011838,124.7162351,223.6737609
2021/8/6,376.2422454,211.5745119,469.6226999,169.4347303,128.3913775,230.4933105
2021/8/7,384.2892033,223.7707935,488.5483098,180.3724183,128.9127278,238.9652554
2021/8/8,385.4905281,234.360015,507.4888415,190.8349717,138.7511603,251.5079248
2021/8/9,403.616632,250.426116,532.3736633,201.054592,149.943216,265.1205256
2021/8/10,413.5754008,252.8104608,542.1612081,214.5775517,148.6595757,267.0798225
2021/8/11,418.0815055,260.7704722,568.0978722,219.9469622,154.1567954,272.3081819
2021/8/12,422.5876101,264.5564454,600.1027208,224.923606,161.4772347,275.0838033
2021/8/13,421.8129381,268.4404345,624.3484329,230.6857831,159.8557785,279.3141963
2021/8/14,411.8192374,285.3623293,631.4637919,218.1019002,170.3777399,283.4671583
2021/8/15,413.2372907,297.2550827,648.4811687,218.7761615,173.8579302,302.1040495
2021/8/16,405.81415,303.253014,674.3629059,219.0158111,181.5181539,325.3299748
2021/8/17,426.9576494,317.7325905,698.511442,235.0483724,187.0464317,336.9577639
2021/8/18,440.9143054,324.8608772,718.9612461,244.0311462,192.3243233,340.7942001
2021/8/19,454.8709614,331.9891639,725.651082,250.8483387,193.5893737,342.6891852
2021/8/20,468.7764948,338.9981964,732.0487863,257.6898784,197.547807,340.5948134
2021/8/21,482.7544137,349.7731755,737.8051894,245.4934277,201.5985445,344.9894898
2021/8/22,509.9589255,342.8875948,746.9900645,247.5704212,207.4721911,340.9927062
2021/8/23,544.0204093,355.5864391,721.5376967,259.5917858,207.8813005,337.3175472
2021/8/24,558.1037762,370.6917053,728.2631801,264.6691323,215.315125,350.5406141
2021/8/25,555.5917508,370.1462705,742.1256099,266.6353597,216.5451895,354.8338656
2021/8/26,545.9742529,376.1492517,770.4678283,268.601587,222.7998297,356.9097692
2021/8/27,566.0317142,397.5527835,792.170275,274.1298461,225.4480059,366.9334776
2021/8/28,584.7079123,398.0464183,758.4477073,285.154195,228.8771695,369.1198239
2021/8/29,576.1791973,427.0421882,777.6166975,282.0619996,235.8388913,380.9747727
2021/8/30,558.7968482,443.9406787,780.9718165,292.2796888,240.6813201,387.5587904
2021/8/31,592.4505417,455.23712,807.7607497,287.9775039,244.5804566,389.3449001
