lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
0.065213869,0.067397083,0.069393322,0.071015611,0.072077126,0.07244479,0.072118295,0.071117475,0.069462162,0.06717219,0.064267391,0.060767598,0.056692646,0.052062366,0.046896592,0.041215158,0.035037895,0.028384638,0.02127522,0.013729473,0.005767231,-0.002591674,-0.011327408,-0.020420137,-0.02985003,-0.039597252,-0.049641971,-0.059964354,-0.070544567,-0.081362777,-0.092399152,-0.103633857,-0.115047061,-0.12661893,-0.13832963,-0.150159329,-0.162088193,-0.17409639,-0.186164087,-0.198271449,-0.210398645
0.07324817,0.074885868,0.076345342,0.077448368,0.078016864,0.077923984,0.077169434,0.075772117,0.07375094,0.071124806,0.067912621,0.06413329,0.059805717,0.054948808,0.049581467,0.043722599,0.03739111,0.030605903,0.023385884,0.015749957,0.007717029,-0.000693998,-0.009464217,-0.018574724,-0.028006613,-0.037740981,-0.047758922,-0.058041532,-0.068569904,-0.079325136,-0.09028832,-0.101440554,-0.112762932,-0.124236548,-0.135842499,-0.147561879,-0.159375784,-0.171265308,-0.183211546,-0.195195595,-0.207198548
0.079733937,0.080888656,0.081873764,0.08251965,0.082656841,0.082164618,0.081042703,0.079309085,0.076981757,0.074078709,0.070617933,0.06661742,0.062095162,0.057069149,0.051557372,0.045577824,0.039148495,0.032287376,0.025012459,0.017341735,0.009293195,0.00088483,-0.007865368,-0.016939408,-0.026319299,-0.03598705,-0.045924669,-0.056114166,-0.066537548,-0.077176826,-0.088014007,-0.0990311,-0.110210114,-0.121533059,-0.132981941,-0.144538772,-0.156185558,-0.167904309,-0.179677034,-0.191485742,-0.20331244
0.084773221,0.08550389,0.08607342,0.086320672,0.086084638,0.085250629,0.083818379,0.081804981,0.079227529,0.076103113,0.072448827,0.068281764,0.063619016,0.058477675,0.052874835,0.046827587,0.040353025,0.033468241,0.026190327,0.018536377,0.010523482,0.002168735,-0.00651077,-0.015497943,-0.024775689,-0.034326916,-0.044134532,-0.054181445,-0.064450561,-0.074924788,-0.085587034,-0.096420205,-0.10740721,-0.118530955,-0.129774348,-0.141120297,-0.152551709,-0.164051491,-0.175602551,-0.187187796,-0.198790134
0.088468073,0.088830014,0.089039143,0.088942646,0.088387836,0.087265951,0.085576739,0.083336409,0.08056117,0.077267232,0.073470804,0.069188096,0.064435316,0.059228675,0.053584381,0.047518644,0.041047674,0.034187678,0.026954868,0.019365453,0.01143564,0.003181641,-0.005380336,-0.014234081,-0.023363385,-0.032752039,-0.042383833,-0.052242558,-0.062312004,-0.072575963,-0.083018224,-0.093622579,-0.104372818,-0.115252732,-0.126246112,-0.137336747,-0.148508429,-0.159744949,-0.171030097,-0.182347663,-0.193681439
0.090920545,0.090965472,0.090865763,0.090476785,0.089654018,0.088294523,0.086398059,0.083979969,0.081055596,0.07764028,0.073749364,0.06939819,0.064602099,0.059376435,0.053736537,0.04769775,0.041275414,0.034484871,0.027341463,0.019860533,0.012057422,0.003947473,-0.004453974,-0.013131576,-0.02206999,-0.031253876,-0.04066789,-0.050296692,-0.060124939,-0.07013729,-0.080318402,-0.090652933,-0.101125541,-0.111720885,-0.122423623,-0.133218413,-0.144089912,-0.155022779,-0.166001671,-0.177011248,-0.188036166
0.092232689,0.092008707,0.091648115,0.091014301,0.089970766,0.08842028,0.086362616,0.083812266,0.080783721,0.077291472,0.073350008,0.068973822,0.064177403,0.058975242,0.053381831,0.047411659,0.041079219,0.034399,0.027385493,0.020053189,0.012416579,0.004490154,-0.003711596,-0.012174179,-0.020883106,-0.029823885,-0.038982026,-0.048343037,-0.057892429,-0.06761571,-0.077498389,-0.087525976,-0.09768398,-0.107957909,-0.118333275,-0.128795585,-0.139330349,-0.149923076,-0.160559275,-0.171224455,-0.181904127
0.092506555,0.092058164,0.091481029,0.090646408,0.089425661,0.087727158,0.085550686,0.082909902,0.079818462,0.076290021,0.072338237,0.067976765,0.063219262,0.058079384,0.052570787,0.046707128,0.040502063,0.033969247,0.027122338,0.019974991,0.012540863,0.004833611,-0.003133111,-0.011345645,-0.019790336,-0.028453526,-0.03732156,-0.046380782,-0.055617535,-0.065018163,-0.074569009,-0.084256418,-0.094066734,-0.103986299,-0.114001458,-0.124098555,-0.134263933,-0.144483936,-0.154744907,-0.165033191,-0.175335132
0.091844196,0.091212286,0.090459339,0.089464318,0.088106286,0.086299095,0.084042546,0.081349479,0.078232731,0.074705142,0.070779551,0.066468795,0.061785715,0.056743148,0.051353934,0.045630911,0.039586919,0.033234795,0.026587379,0.01965751,0.012458026,0.005001766,-0.002698431,-0.010629726,-0.018779281,-0.027134256,-0.035681814,-0.044409114,-0.053303319,-0.062351589,-0.071541086,-0.080858971,-0.090292405,-0.099828549,-0.109454565,-0.119157614,-0.128924857,-0.138743454,-0.148600569,-0.158483361,-0.168378991
0.090347662,0.089569516,0.088677876,0.087559245,0.086100221,0.084220026,0.081918473,0.0792076,0.076099446,0.07260605,0.06873945,0.064511687,0.059934797,0.055020821,0.049781797,0.044229764,0.03837676,0.032234825,0.025815997,0.019132315,0.012195818,0.005018545,-0.002387465,-0.010010175,-0.017837544,-0.025857534,-0.034058106,-0.042427222,-0.050952843,-0.059622929,-0.068425442,-0.077348343,-0.086379594,-0.095507155,-0.104718988,-0.114003053,-0.123347313,-0.132739728,-0.142168259,-0.151620868,-0.161085516
