lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.636953124,-3.149894516,-2.686915889,-2.246922696,-1.828820395,-1.43151444,-1.053910287,-0.694913392,-0.353429209,-0.028363194,0.281379197,0.576892508,0.859271286,1.129610073,1.389003414,1.638545855,1.87933194,2.112456212,2.339013217,2.5600975,2.776803604,2.990226075,3.201459456,3.411598293
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.903420079,-3.428964173,-2.977568143,-2.548229386,-2.139945299,-1.751713279,-1.382530722,-1.031395025,-0.697303585,-0.379253798,-0.076243061,0.21273123,0.488671677,0.752580884,1.005461455,1.248315992,1.482147099,1.70795738,1.926749438,2.139525875,2.347289296,2.551042303,2.751787501,2.950527492,3.148264879
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.66790114,-3.229464688,-2.812076276,-2.414820772,-2.036783044,-1.67704796,-1.334700388,-1.008825195,-0.698507249,-0.402831418,-0.12088257,0.148254427,0.405494706,0.651753399,0.887945638,1.114986554,1.333791281,1.545274951,1.750352695,1.949939646,2.144950936,2.336301698,2.524907062,2.711682163,2.897542131
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.866507034,-3.44240277,-3.038267276,-2.65326852,-2.286574471,-1.937353097,-1.604772365,-1.288000243,-0.986204699,-0.698553701,-0.424215217,-0.162357214,0.087852339,0.327245474,0.556654224,0.776910621,0.988846696,1.193294483,1.391086012,1.583053317,1.77002843,1.952843381,2.132330204,2.309320931,2.484647594,2.659142224
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.61628895,-3.226698297,-2.855184541,-2.50099448,-2.163374908,-1.841572623,-1.534834419,-1.242407094,-0.963537442,-0.697472259,-0.443458342,-0.200742487,0.031428511,0.253807856,0.467148752,0.672204403,0.869728013,1.060472785,1.245191926,1.424638637,1.599566124,1.770727591,1.938876241,2.104765279,2.269147908,2.432777334
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.75115906,-3.377378192,-3.020561051,-2.68002909,-2.355103758,-2.045106507,-1.749358787,-1.46718205,-1.197897746,-0.940827326,-0.695292241,-0.460613943,-0.23611388,-0.021113506,0.18506573,0.383102377,0.573674983,0.757462098,0.935142271,1.107394051,1.274895987,1.438326629,1.598364525,1.755688224,1.910976276,2.06490723,2.218159635
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.84719616,-3.490447711,-3.149506435,-2.823764363,-2.512613528,-2.21544596,-1.931653692,-1.660628756,-1.401763184,-1.154449007,-0.918078257,-0.692042966,-0.475735165,-0.268546888,-0.069870164,0.120902973,0.304380492,0.481170361,0.651880548,0.817119021,0.97749375,1.133612701,1.286083843,1.435515144,1.582514572,1.727690096,1.871649684,2.015001303
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.904746534,-3.566196482,-3.242263211,-2.932405359,-2.636081562,-2.35275046,-2.08187069,-1.822900889,-1.575299695,-1.338525747,-1.112037681,-0.895294136,-0.687753749,-0.488875158,-0.298117001,-0.114937916,0.061203461,0.23084849,0.394538534,0.552814956,0.706219118,0.855292382,1.00057611,1.142611664,1.281940407,1.419103701,1.554642909,1.689099392,1.823014512
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.924333694,-3.605078005,-3.299224021,-3.00629311,-2.72580664,-2.457285978,-2.200252493,-1.954227551,-1.718732521,-1.49328877,-1.277417666,-1.070640576,-0.872478868,-0.68245391,-0.500087069,-0.324899714,-0.156413211,0.005851071,0.162371765,0.313627504,0.460096919,0.602258643,0.740591308,0.875573547,1.007683992,1.137401276,1.26520403,1.391570886,1.516980479,1.641911439
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.906670407,-3.607722669,-3.320945634,-3.045919624,-2.782224957,-2.529441956,-2.28715094,-2.054932231,-1.832366148,-1.619033013,-1.414513145,-1.218386866,-1.030234497,-0.849636356,-0.676172766,-0.509424047,-0.348970519,-0.194392503,-0.045270319,0.098815711,0.238285268,0.37355803,0.505053678,0.63319189,0.758392346,0.881074726,1.001658709,1.120563974,1.2382102,1.355017068,1.471404257
-4,-4,-4,-4,-4,-4,-4,-4,-4,-3.852668741,-3.574948793,-3.30816098,-3.051940897,-2.80592414,-2.569746304,-2.343042985,-2.125449779,-1.91660228,-1.716136085,-1.523686789,-1.338889988,-1.161381276,-0.99079625,-0.826770504,-0.668939635,-0.516939238,-0.370404909,-0.228972242,-0.092276834,0.04004572,0.168359825,0.293029885,0.414420304,0.532895488,0.64881984,0.762557764,0.874473667,0.984931951,1.094297022,1.202933284,1.311205142
-4,-4,-4,-4,-4,-4,-4,-4,-3.763448135,-3.507771679,-3.261789188,-3.025187953,-2.797655265,-2.578878417,-2.3685447,-2.166341405,-1.971955823,-1.785075247,-1.605386967,-1.432578275,-1.266336462,-1.10634882,-0.952302641,-0.803885215,-0.660783835,-0.522685791,-0.389278376,-0.26024888,-0.135284595,-0.014072813,0.103699175,0.218344078,0.330174604,0.439503462,0.546643359,0.651907006,0.75560711,0.858056379,0.959567523,1.06045325,1.161026269
-4,-4,-4,-4,-4,-4,-3.882000528,-3.640341482,-3.40741069,-3.182943659,-2.966675898,-2.758342914,-2.557680214,-2.364423305,-2.178307696,-1.999068893,-1.826442403,-1.660163736,-1.499968396,-1.345591894,-1.196769734,-1.053237426,-0.914730477,-0.780984393,-0.651734683,-0.526716854,-0.405666414,-0.288318869,-0.174409727,-0.063674496,0.044151317,0.149332205,0.252132659,0.352817173,0.451650239,0.54889635,0.644819998,0.739685675,0.833757875,0.92730109,1.020579813
-4,-4,-4,-4,-3.926733739,-3.70197248,-3.484899234,-3.275294344,-3.072938152,-2.877611001,-2.689093232,-2.50716519,-2.331607216,-2.162199652,-1.998722841,-1.840957126,-1.688682849,-1.541680352,-1.399729979,-1.26261207,-1.13010697,-1.00199502,-0.878056563,-0.758071942,-0.641821498,-0.529085575,-0.419644514,-0.313278659,-0.209768352,-0.108893935,-0.01043575,0.085825859,0.180110551,0.272637982,0.363627811,0.453299694,0.54187329,0.629568256,0.71660425,0.803200928,0.889577949
-4,-4,-3.892574403,-3.689245927,-3.490953288,-3.298891533,-3.113063434,-2.933290885,-2.759395782,-2.591200021,-2.428525498,-2.271194107,-2.119027744,-1.971848306,-1.829477686,-1.691737783,-1.558450489,-1.429437702,-1.304521317,-1.18352323,-1.066265335,-0.952569529,-0.842257707,-0.735151764,-0.631073597,-0.529845101,-0.431288171,-0.335224703,-0.241476593,-0.149865736,-0.060214027,0.027656637,0.113924361,0.19876725,0.282363408,0.364890939,0.446527948,0.52745254,0.607842818,0.687876887,0.767732852
-3.769246705,-3.594719047,-3.421508725,-3.250933072,-3.084308353,-2.922572161,-2.765726667,-2.613632139,-2.466148841,-2.32313704,-2.184457001,-2.04996899,-1.919533273,-1.793010115,-1.670259782,-1.55114254,-1.435518655,-1.323248392,-1.214192017,-1.108209796,-1.005161994,-0.904908878,-0.807310713,-0.712227764,-0.619520298,-0.52904858,-0.440672877,-0.354253453,-0.269650574,-0.186724506,-0.105335516,-0.025343868,0.053390172,0.131006337,0.207644363,0.283443983,0.358544931,0.433086943,0.507209752,0.581053092,0.654756698
-3.269127574,-3.125856012,-2.983569126,-2.843251593,-2.705887289,-2.572177041,-2.442122474,-2.315619139,-2.192562589,-2.072848376,-1.956372051,-1.843029167,-1.732715275,-1.625325928,-1.520756678,-1.418903076,-1.319660675,-1.222925026,-1.128591681,-1.036556193,-0.946714114,-0.858960994,-0.773192388,-0.689303845,-0.607190919,-0.526749161,-0.447874124,-0.370461358,-0.294406417,-0.219604853,-0.145952216,-0.07334406,-0.001675936,0.069156604,0.139258008,0.208732724,0.2776852,0.346219883,0.414441223,0.482453666,0.550361661
-2.806033425,-2.691519424,-2.577685582,-2.465212055,-2.354778448,-2.246868853,-2.141484392,-2.038552919,-1.938002286,-1.839760347,-1.743754954,-1.649913963,-1.558165225,-1.468436595,-1.380655925,-1.294751068,-1.210649879,-1.12828021,-1.047569915,-0.968446847,-0.890838859,-0.814673805,-0.739879537,-0.66638391,-0.594114777,-0.522999991,-0.452967405,-0.383944872,-0.315860247,-0.248641381,-0.182216129,-0.116512344,-0.051457879,0.013019412,0.076991677,0.140531062,0.203709713,0.266599777,0.329273402,0.391802733,0.454259917
-2.378728385,-2.290556802,-2.202788065,-2.115825019,-2.030070183,-1.945810276,-1.863045963,-1.781734512,-1.701833192,-1.623299271,-1.546090019,-1.470162705,-1.395474596,-1.321982962,-1.249645072,-1.178418194,-1.108259597,-1.03912655,-0.970976321,-0.90376618,-0.837453395,-0.771995235,-0.707348968,-0.643471864,-0.580321191,-0.517854218,-0.456028213,-0.394800446,-0.334128185,-0.273968699,-0.214279256,-0.155017126,-0.096139577,-0.037603878,0.020632702,0.078612895,0.136379431,0.193975043,0.251442461,0.308824416,0.36616364
-1.985976584,-1.921815664,-1.85780655,-1.79410105,-1.730850848,-1.668163989,-1.606040725,-1.544464951,-1.483420567,-1.422891468,-1.362861553,-1.303314718,-1.244234861,-1.185605879,-1.12741167,-1.069636131,-1.012263159,-0.955276651,-0.898660505,-0.842398619,-0.786474888,-0.730873212,-0.675577486,-0.620571609,-0.565839478,-0.511364989,-0.457132041,-0.403124531,-0.349326355,-0.295721412,-0.242293598,-0.189026811,-0.135904948,-0.082911907,-0.030031584,0.022752122,0.075455315,0.128094097,0.180684571,0.23324284,0.285785006
-1.626542151,-1.584143527,-1.541671012,-1.499050712,-1.456208795,-1.413092671,-1.369702217,-1.326045271,-1.282129671,-1.237963256,-1.193553862,-1.148909329,-1.104037494,-1.058946195,-1.01364327,-0.968136557,-0.922433894,-0.876543119,-0.830472071,-0.784228587,-0.737820504,-0.691255662,-0.644541898,-0.59768705,-0.550698956,-0.503585454,-0.456354382,-0.409013578,-0.36157088,-0.314034127,-0.266411155,-0.218709803,-0.17093791,-0.123103312,-0.075213849,-0.027277357,0.020698324,0.068705358,0.116735905,0.164782128,0.21283619
-1.299189212,-1.27638791,-1.253311423,-1.229684566,-1.205232378,-1.179759001,-1.15326398,-1.125776505,-1.097325766,-1.067940953,-1.037651256,-1.006485864,-0.974473968,-0.941644757,-0.908027421,-0.873651149,-0.838545133,-0.80273856,-0.766260622,-0.729140508,-0.691407408,-0.653090511,-0.614219008,-0.574822089,-0.534928942,-0.494568759,-0.453770728,-0.41256404,-0.370977884,-0.32904145,-0.286783929,-0.244234509,-0.201422381,-0.158376734,-0.115126759,-0.071701645,-0.028130581,0.015557241,0.059332633,0.103166405,0.147029366
-1.002681899,-0.997396331,-0.99165776,-0.985013178,-0.97700995,-0.967325657,-0.955959552,-0.942959686,-0.928374111,-0.912250878,-0.894638041,-0.87558365,-0.855135757,-0.833342414,-0.810251673,-0.785911586,-0.760370204,-0.733675579,-0.705875763,-0.677018808,-0.647152765,-0.616325687,-0.584585625,-0.55198063,-0.518558756,-0.484368052,-0.449456572,-0.413872367,-0.377663489,-0.340877989,-0.30356392,-0.265769333,-0.227542279,-0.188930812,-0.149982982,-0.110746841,-0.071270441,-0.031601835,0.008210927,0.048119793,0.088076711
